Agnampadi Toll Plaza,290.00
Ahmadpur Toll Plaza,520.00
AIT Toll Plaza,550.00
ALEP Main Plaza 21,"2,915.00"
ALEP Main Plaza 290,"2,915.00"
Allonia Toll Plaza,305.00
Anantram Toll Plaza ,480.00
Anewadi Toll Plaza,365.00
Arjunalli toll plaza,625.00
Athur Toll Plaza,160.00
ATTIBELLE ,205.00
Babina Toll Plaza ,535.00
Badarpur faridabad Toll Plaza,40.00
Bagaliya Toll Plaza,195.00
Bagepalli Toll Plaza,525.00
Bakori,640.00
Bankapur,285.00
Barajore toll plaza,740.00
Baretha or Jajau,430.00
Baswant Toll Plaza,800.00
Bellupada,510.00
Bellur Toll Plaza,255.00
Bhiknoor Toll Plaza,415.00
Bhourasa Toll Plaza,750.00
Bijapur Toll Plaza,320.00
Bollapalli Toll Plaza,730.00
BORKHEDI TOLL PLAZA,630.00
Brahamarakotlu Toll Plaza,140.00
Brijghat Toll Plaza,305
"Budhanam Plaza (NH-16),(old NH-5)",300.00
Chalageri Toll Plaza,405.00
Chamari Toll Plaza,475.00
Chapra New Delhi,460.00
Chaukadi Toll Plaza,525.00
Chhajarsi Toll Plaza,690
Chikliya Toll Plaza,628.00
Chilakpelam,270.00
Chillakallu,460.00
Chitora,645.00
Chokala Toll Plaza,718.00
Chokkenahalli toll plaza,65.00
Choundha,380.00
Dagrai Toll Plaza,640.00
Daroada,485.00
Dasana,785
Daulatpura Toll Plaza,310.00
Dehuroad NH48 Toll Plaza,307.00
Eethakota at Km.946.300,535.00
Etturvattam Toll Plaza,455.00
Gabbur,345.00
Gamjal Toll Plaza,275.00
Gegal,305.00
Ghoti toll plaza,625.00
Gudipada or Gangapada,390.00
Guilalu Toll Plaza,375.00
Gurapali Toll Plaza,455.00
Gurau (Formerly Semra Atikaba,520.00
Harwal TOLL PLAZA,385.00
Hattargi Toll Plaza,155.00
Hebbalu Toll Plaza,310.00
HEJAMADI TOLL PLAZA,205.00
Hirebgewadi toll plaza,520.00
Hitnal,200.00
Hiwargaon pavasa toll plaza,455.00
Holgegadde,385.00
Hoskote Toll Plaza,105.00
IDTL Toll Plaza-A,295.00
Indalwai,395.00
Itaunja Toll Plaza,245
IVRCL Chengapally Tollways Li,480.00
Jaipur Plaza,360.00
Jamli Toll Pllaza,530.00
Jogipur Toll Plaza,315.00
Jojro Ka Kheda Toll Plaza,290.00
Joya Toll Plaza,205
Kadabhalli (Kirasave) Toll Pl,245.00
Kalaparru Toll Plaza,180.00
Kamkole,510.00
KAMPTEE KANHAN BYPASS CHECK T,660.00
Kananakatte,395.00
Kannole TOLL PLAZA,305.00
Kappalur,450.00
Karjeevanhally Toll Plaza,465.00
Karwar,345.00
Kaza Toll Plaza Mangalgiri,530.00
Keesara Plaza (NH,195.00
"Keesara Plaza (NH-65),(old NH-9)",195.00
Kelapur,485.00
Khairabad Toll Plaza,245
Khalapur Toll Plaza,"1,376.00"
Khalghat Toll Plaza ,320.00
Khawasa Toll Plaza,380.00
Khedi,395.00
Khed-Shivapur Toll Plaza,530.00
Kini Toll Plaza,265.00
Kishangarh Plaza,225.00
